air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,32,Norway,Kristian,Kristian Blummenfelt,41322,Blummenfelt,NOR,1994,00:56:19,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",1,2021-07-26,501764,Elite Men,06:30:00,1035224,00:29:34,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,43,00:18:04,00:00:39,00:00:28,01:45:04,,,
,28,Great Britain,Alex,Alex Yee,96742,Yee,GBR,1998,00:56:17,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",2,2021-07-26,501764,Elite Men,06:30:00,1035225,00:29:44,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,55,00:18:09,00:00:38,00:00:27,01:45:15,,,
,28,New Zealand,Hayden,Hayden Wilde,104034,Wilde,NZL,1997,00:56:07,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",3,2021-07-26,501764,Elite Men,06:30:00,1035226,00:29:52,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,2,00:18:17,00:00:39,00:00:29,01:45:24,,,
,33,Belgium,Marten,Marten Van Riel,40311,Van Riel,BEL,1992,00:56:37,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",4,2021-07-26,501764,Elite Men,06:30:00,1035227,00:30:21,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,27,00:17:45,00:00:40,00:00:29,01:45:52,,,
,36,Great Britain,Jonathan,Jonathan Brownlee,11378,Brownlee,GBR,1990,00:56:38,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",5,2021-07-26,501764,Elite Men,06:30:00,1035228,00:30:22,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,54,00:17:49,00:00:38,00:00:26,01:45:53,,,
,33,United States,Kevin,Kevin McDowell,18714,McDowell,USA,1992,00:55:56,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",6,2021-07-26,501764,Elite Men,06:30:00,1035229,00:30:24,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,52,00:18:29,00:00:37,00:00:28,01:45:54,,,
,30,Hungary,Bence,Bence Bicsák,50700,Bicsák,HUN,1995,00:56:26,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",7,2021-07-26,501764,Elite Men,06:30:00,1035230,00:30:24,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,18,00:17:55,00:00:42,00:00:29,01:45:56,,,
,30,Norway,Gustav,Gustav Iden,47630,Iden,NOR,1996,00:55:59,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",8,2021-07-26,501764,Elite Men,06:30:00,1035231,00:30:29,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,44,00:18:24,00:00:39,00:00:29,01:46:00,,,
,30,Switzerland,Max,Max Studer,70032,Studer,SUI,1996,00:55:59,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",9,2021-07-26,501764,Elite Men,06:30:00,1035232,00:30:35,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,47,00:18:25,00:00:39,00:00:28,01:46:06,,,
,36,Spain,Mario,Mario Mola,11402,Mola,ESP,1990,00:56:06,2020,olympic_games,,Tokyo,Japan,2021-07-26,2021-07-31,131299,2020-tokyo-olympic-games,Tokyo 2020 Olympic Games,male,"Tokyo 2020 Olympic Games, held in 2021. Legacy program metadata has empty distance fields.",10,2021-07-26,501764,Elite Men,06:30:00,1035233,00:30:38,https://events.triathlon.org/api/results/131299/501764,https://events.triathlon.org/2020-tokyo-olympic-games/results?program=501764,22,00:18:21,00:00:38,00:00:30,01:46:13,,,
