air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
21.1,28,France,Cassandre,Cassandre Beaugrand,63163,Beaugrand,FRA,1997,00:58:20,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",1,2024-07-31,655048,Elite Women,08:00:00,1165804,00:32:42,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,33,00:22:32,1500,2,00:00:53,00:00:28,01:54:55,22.2,,forbidden
21.1,29,Switzerland,Julie,Julie Derron,84816,Derron,SUI,1996,00:57:58,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",2,2024-07-31,655048,Elite Women,08:00:00,1165805,00:32:51,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,7,00:22:51,1500,2,00:00:54,00:00:27,01:55:01,22.2,,forbidden
21.1,34,Great Britain,Beth,Beth Potter,117212,Potter,GBR,1991,00:58:26,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",3,2024-07-31,655048,Elite Women,08:00:00,1165806,00:32:59,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,25,00:22:25,1500,2,00:00:54,00:00:26,01:55:10,22.2,,forbidden
21.1,24,France,Emma,Emma Lombardi,125375,Lombardi,FRA,2001,00:58:12,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",4,2024-07-31,655048,Elite Women,08:00:00,1165807,00:33:05,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,34,00:22:36,1500,2,00:00:56,00:00:27,01:55:16,22.2,,forbidden
21.1,38,Bermuda,Flora,Flora Duffy,7776,Duffy,BER,1987,00:58:44,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",5,2024-07-31,655048,Elite Women,08:00:00,1165808,00:33:59,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,44,00:22:05,1500,2,00:00:56,00:00:28,01:56:12,22.2,,forbidden
21.1,32,Great Britain,Georgia,Georgia Taylor-Brown,49545,Taylor-Brown,GBR,1994,00:58:12,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",6,2024-07-31,655048,Elite Women,08:00:00,1165809,00:34:20,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,26,00:22:41,1500,2,00:00:53,00:00:29,01:56:35,22.2,,forbidden
21.1,30,Netherlands,Maya,Maya Kingma,55701,Kingma,NED,1995,00:58:25,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",7,2024-07-31,655048,Elite Women,08:00:00,1165810,00:34:42,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,49,00:22:20,1500,2,00:00:59,00:00:27,01:56:53,22.2,,forbidden
21.1,29,Germany,Laura,Laura Lindemann,70413,Lindemann,GER,1996,00:59:07,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",8,2024-07-31,655048,Elite Women,08:00:00,1165811,00:33:42,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,37,00:22:48,1500,2,00:00:53,00:00:31,01:57:01,22.2,,forbidden
21.1,27,Germany,Lisa,Lisa Tertsch,79065,Tertsch,GER,1998,00:59:12,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",9,2024-07-31,655048,Elite Women,08:00:00,1165812,00:33:47,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,38,00:22:45,1500,2,00:00:50,00:00:29,01:57:03,22.2,,forbidden
21.1,35,United States,Taylor,Taylor Spivey,81334,Spivey,USA,1991,00:58:04,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,female,"Olympic individual triathlon, standard distance.",10,2024-07-31,655048,Elite Women,08:00:00,1165813,00:34:57,10000,4,https://events.triathlon.org/api/results/163893/655048,https://events.triathlon.org/paris-2024-olympic-games/results?program=655048,11,00:22:43,1500,2,00:00:57,00:00:30,01:57:11,22.2,,forbidden
