air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
23.9,28,Great Britain,Alex,Alex Yee,96742,Yee,GBR,1998,00:51:57,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",1,2024-07-31,655047,Elite Men,,1165859,00:29:47,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,56,00:20:37,1500,2,00:00:50,00:00:22,01:43:33,22.1,,forbidden
23.9,28,New Zealand,Hayden,Hayden Wilde,104034,Wilde,NZL,1997,00:51:20,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",2,2024-07-31,655047,Elite Men,,1165860,00:29:49,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,21,00:21:13,1500,2,00:00:50,00:00:27,01:43:39,22.1,,forbidden
23.9,29,France,Léo,Léo Bergere,63162,Bergere,FRA,1996,00:51:55,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",3,2024-07-31,655047,Elite Men,,1165861,00:29:55,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,27,00:20:37,1500,2,00:00:51,00:00:25,01:43:43,22.1,,forbidden
23.9,36,France,Pierre,Pierre Le Corre,30249,Le Corre,FRA,1990,00:52:14,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",4,2024-07-31,655047,Elite Men,,1165862,00:30:01,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,29,00:20:20,1500,2,00:00:51,00:00:25,01:43:51,22.1,,forbidden
23.9,26,Portugal,Vasco,Vasco Vilaca,86042,Vilaca,POR,1999,00:51:30,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",5,2024-07-31,655047,Elite Men,,1165863,00:30:04,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,48,00:21:03,1500,2,00:00:52,00:00:27,01:43:56,22.1,,forbidden
23.9,25,Portugal,Ricardo,Ricardo Batista,98121,Batista,POR,2000,00:51:29,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",6,2024-07-31,655047,Elite Men,,1165864,00:30:06,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,47,00:21:10,1500,2,00:00:46,00:00:27,01:43:58,22.1,,forbidden
23.9,28,Australia,Matthew,Matthew Hauser,80795,Hauser,AUS,1998,00:52:26,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",7,2024-07-31,655047,Elite Men,,1165865,00:30:24,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,45,00:20:14,1500,2,00:00:49,00:00:24,01:44:17,22.1,,forbidden
23.9,27,Spain,Alberto,Alberto Gonzalez Garcia,74419,Gonzalez Garcia,ESP,1998,00:52:15,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",8,2024-07-31,655047,Elite Men,,1165866,00:30:36,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,15,00:20:23,1500,2,00:00:46,00:00:22,01:44:22,22.1,,forbidden
23.9,31,Canada,Tyler,Tyler Mislawchuk,49411,Mislawchuk,CAN,1994,00:51:45,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",9,2024-07-31,655047,Elite Men,,1165867,00:30:35,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,49,00:20:49,1500,2,00:00:51,00:00:25,01:44:25,22.1,,forbidden
23.9,25,Brazil,Miguel,Miguel Hidalgo,105480,Hidalgo,BRA,2000,00:51:36,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",10,2024-07-31,655047,Elite Men,,1165868,00:30:36,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,25,00:20:57,1500,2,00:00:53,00:00:25,01:44:27,22.1,,forbidden
23.9,27,Hungary,Csongor,Csongor Lehmann,94446,Lehmann,HUN,1999,00:51:16,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",11,2024-07-31,655047,Elite Men,,1165869,00:30:43,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,53,00:21:19,1500,2,00:00:48,00:00:21,01:44:27,22.1,,forbidden
23.9,32,Norway,Kristian,Kristian Blummenfelt,41322,Blummenfelt,NOR,1994,00:51:29,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",12,2024-07-31,655047,Elite Men,,1165870,00:30:39,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,43,00:21:00,1500,2,00:00:53,00:00:26,01:44:27,22.1,,forbidden
23.9,28,Canada,Charles,Charles Paquet,79706,Paquet,CAN,1997,00:51:16,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",13,2024-07-31,655047,Elite Men,,1165871,00:30:46,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,50,00:21:16,1500,2,00:00:53,00:00:26,01:44:37,22.1,,forbidden
23.9,32,Italy,Gianluca,Gianluca Pozzatti,71738,Pozzatti,ITA,1993,00:52:01,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",14,2024-07-31,655047,Elite Men,,1165872,00:30:51,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,3,00:20:31,1500,2,00:00:51,00:00:27,01:44:41,22.1,,forbidden
23.9,32,Japan,Kenji,Kenji Nener,39264,Nener,JPN,1993,00:51:58,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",15,2024-07-31,655047,Elite Men,,1165873,00:31:13,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,18,00:20:36,1500,2,00:00:50,00:00:25,01:45:02,22.1,,forbidden
23.9,30,Hungary,Bence,Bence Bicsák,50700,Bicsák,HUN,1995,00:51:35,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",16,2024-07-31,655047,Elite Men,,1165874,00:31:21,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,52,00:20:55,1500,2,00:00:54,00:00:29,01:45:14,22.1,,forbidden
23.9,26,Norway,Vetle Bergsvik,Vetle Bergsvik Thorn,96040,Thorn,NOR,1999,00:52:02,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",17,2024-07-31,655047,Elite Men,,1165875,00:31:34,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,44,00:20:30,1500,2,00:00:50,00:00:25,01:45:21,22.1,,forbidden
23.9,26,Germany,Tim,Tim Hellwig,106885,Hellwig,GER,1999,00:52:03,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",18,2024-07-31,655047,Elite Men,,1165876,00:31:39,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,36,00:20:34,1500,2,00:00:47,00:00:26,01:45:29,22.1,,forbidden
23.9,25,New Zealand,Dylan,Dylan McCullough,103632,McCullough,NZL,2001,00:51:58,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",19,2024-07-31,655047,Elite Men,,1165877,00:31:44,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,20,00:20:36,1500,2,00:00:51,00:00:26,01:45:35,22.1,,forbidden
23.9,34,South Africa,Henri,Henri Schoeman,30433,Schoeman,RSA,1991,00:52:24,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",20,2024-07-31,655047,Elite Men,,1165878,00:32:02,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,33,00:20:11,1500,2,00:00:51,00:00:25,01:45:53,22.1,,forbidden
23.9,29,Germany,Lasse,Lasse Lührs,70410,Lührs,GER,1996,00:51:34,40000,7,2024,olympic_games,standard,Paris,France,2024-07-30,2024-08-05,163893,paris-2024-olympic-games,Paris 2024 Olympic Games,male,"Olympic individual triathlon, standard distance.",21,2024-07-31,655047,Elite Men,,1165879,00:32:03,10000,4,https://events.triathlon.org/api/results/163893/655047,https://events.triathlon.org/paris-2024-olympic-games/results?program=655047,37,00:21:00,1500,2,00:00:52,00:00:27,01:45:56,22.1,,forbidden
