air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,32,Norway,Kristian,Kristian Blummenfelt,41322,Blummenfelt,NOR,1994,01:00:46,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,1,2019-08-31,337811,Elite Men,,819927,00:30:46,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,19,00:18:12,00:00:39,00:00:26,01:50:47,,,
,36,Spain,Mario,Mario Mola,11402,Mola,ESP,1990,01:00:36,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,2,2019-08-31,337811,Elite Men,,819928,00:31:01,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,2,00:18:23,00:00:38,00:00:26,01:51:03,,,
,35,Spain,Fernando,Fernando Alarza,29442,Alarza,ESP,1991,01:00:31,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,3,2019-08-31,337811,Elite Men,,819929,00:31:17,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,4,00:18:30,00:00:37,00:00:24,01:51:18,,,
,30,Norway,Gustav,Gustav Iden,47630,Iden,NOR,1996,01:00:32,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,4,2019-08-31,337811,Elite Men,,819930,00:31:32,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,15,00:18:28,00:00:38,00:00:25,01:51:34,,,
,36,France,Vincent,Vincent Luis,11143,Luis,FRA,1989,01:00:53,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,5,2019-08-31,337811,Elite Men,,819931,00:31:52,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,1,00:18:06,00:00:39,00:00:25,01:51:53,,,
,43,Spain,Javier,Javier Gomez Noya,5695,Gomez Noya,ESP,1983,01:00:44,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,6,2019-08-31,337811,Elite Men,,819932,00:32:12,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,3,00:18:12,00:00:41,00:00:26,01:52:14,,,
,29,Norway,Casper,Casper Stornes,76434,Stornes,NOR,1997,01:00:32,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,7,2019-08-31,337811,Elite Men,,819933,00:32:19,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,47,00:18:24,00:00:43,00:00:26,01:52:20,,,
,36,Great Britain,Jonathan,Jonathan Brownlee,11378,Brownlee,GBR,1990,01:00:49,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,8,2019-08-31,337811,Elite Men,,819934,00:32:25,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,21,00:18:13,00:00:37,00:00:30,01:52:32,,,
,33,Belgium,Marten,Marten Van Riel,40311,Van Riel,BEL,1992,01:00:52,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,9,2019-08-31,337811,Elite Men,,819935,00:32:47,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,6,00:18:07,00:00:40,00:00:29,01:52:53,,,
,33,Austria,Alois,Alois Knabl,21622,Knabl,AUT,1992,01:00:50,2019,wtcs_final,,Lausanne,Switzerland,2019-08-29,2019-09-01,127488,2019-itu-world-triathlon-grand-final-lausanne,2019 ITU World Triathlon Grand Final Lausanne,male,World Triathlon/ITU Grand Final. Legacy program metadata has empty distance fields.,10,2019-08-31,337811,Elite Men,,819936,00:32:50,https://events.triathlon.org/api/results/127488/337811,https://events.triathlon.org/2019-itu-world-triathlon-grand-final-lausanne/results?program=337811,29,00:18:06,00:00:41,00:00:27,01:52:53,,,
