air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,source_api_url,source_url,start_num,swim,t1,t2,total_time,water_temperature,weather,wetsuit
,28,United States,Taylor,Taylor Knibb,80643,Knibb,USA,1998,00:58:44,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,1,2021-08-21,353165,Elite Women,10:50:00,1017325,00:35:46,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,4,00:18:42,00:01:08,00:00:29,01:54:47,,,
,31,France,Leonie,Leonie Periault,41158,Periault,FRA,1994,01:01:30,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,2,2021-08-21,353165,Elite Women,10:50:00,1017326,00:33:52,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,8,00:18:52,00:01:05,00:00:26,01:55:43,,,
,38,Bermuda,Flora,Flora Duffy,7776,Duffy,BER,1987,01:01:24,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,3,2021-08-21,353165,Elite Women,10:50:00,1017327,00:34:22,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,1,00:18:57,00:01:04,00:00:26,01:56:11,,,
,36,United States,Katie,Katie Zaferes,68698,Zaferes,USA,1989,01:01:18,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,4,2021-08-21,353165,Elite Women,10:50:00,1017328,00:34:24,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,6,00:19:01,00:01:06,00:00:27,01:56:14,,,
,35,United States,Taylor,Taylor Spivey,81334,Spivey,USA,1991,01:01:30,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,5,2021-08-21,353165,Elite Women,10:50:00,1017329,00:34:30,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,2,00:18:47,00:01:06,00:00:25,01:56:16,,,
,30,Netherlands,Maya,Maya Kingma,55701,Kingma,NED,1995,01:01:34,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,6,2021-08-21,353165,Elite Women,10:50:00,1017330,00:34:38,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,3,00:18:48,00:01:03,00:00:23,01:56:23,,,
,31,Great Britain,Sophie,Sophie Evans,50760,Evans,GBR,1995,01:01:19,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,7,2021-08-21,353165,Elite Women,10:50:00,1017331,00:34:58,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,5,00:19:00,00:01:07,00:00:25,01:56:46,,,
,29,Germany,Laura,Laura Lindemann,70413,Lindemann,GER,1996,01:01:27,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,8,2021-08-21,353165,Elite Women,10:50:00,1017332,00:35:05,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,7,00:18:50,00:01:09,00:00:27,01:56:56,,,
,40,Great Britain,Vicky,Vicky Holland,7795,Holland,GBR,1986,01:02:36,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,9,2021-08-21,353165,Elite Women,10:50:00,1017333,00:34:10,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,24,00:19:05,00:01:18,00:00:25,01:57:32,,,
,34,United States,Kirsten,Kirsten Kasper,89532,Kasper,USA,1991,01:01:21,2021,wtcs_final,,Edmonton,Canada,2021-08-21,2021-08-21,130051,2021-world-triathlon-grand-final-edmonton,2021 World Triathlon Championship Finals Edmonton,female,World Triathlon Championship Finals. Legacy program metadata has empty distance fields.,10,2021-08-21,353165,Elite Women,10:50:00,1017334,00:35:58,https://events.triathlon.org/api/results/130051/353165,https://events.triathlon.org/2021-world-triathlon-grand-final-edmonton/results?program=353165,14,00:18:54,00:01:08,00:00:27,01:57:47,,,
