air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
,27,Germany,Lisa,Lisa Tertsch,79065,Tertsch,GER,1998,01:02:34,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",1,2025-10-19,674812,Elite Women,14:00:00,1218535,00:33:56,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,4,00:19:09,1500,2,00:00:49,00:00:25,01:56:50,,,
,26,Italy,Bianca,Bianca Seregni,106581,Seregni,ITA,2000,01:02:30,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",2,2025-10-19,674812,Elite Women,14:00:00,1218536,00:34:09,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,10,00:19:11,1500,2,00:00:50,00:00:26,01:57:04,,,
,24,France,Emma,Emma Lombardi,125375,Lombardi,FRA,2001,01:02:32,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",3,2025-10-19,674812,Elite Women,14:00:00,1218537,00:34:23,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,16,00:19:12,1500,2,00:00:48,00:00:22,01:57:16,,,
,31,France,Leonie,Leonie Periault,41158,Periault,FRA,1994,01:03:07,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",4,2025-10-19,674812,Elite Women,14:00:00,1218538,00:33:27,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,5,00:19:33,1500,2,00:00:51,00:00:25,01:57:21,,,
,26,Great Britain,Jessica,Jessica Fullagar,104333,Fullagar,GBR,2000,01:02:19,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",5,2025-10-19,674812,Elite Women,14:00:00,1218539,00:34:33,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,34,00:19:23,1500,2,00:00:50,00:00:24,01:57:28,,,
,27,Individual Neutral Athlete,Diana,Diana Isakova,132753,Isakova,AIN,1999,01:02:50,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",6,2025-10-19,674812,Elite Women,14:00:00,1218540,00:33:41,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,8,00:19:43,1500,2,00:01:00,00:00:28,01:57:40,,,
,35,United States,Taylor,Taylor Spivey,81334,Spivey,USA,1991,01:03:17,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",7,2025-10-19,674812,Elite Women,14:00:00,1218541,00:33:51,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,6,00:19:27,1500,2,00:00:49,00:00:26,01:57:47,,,
,33,Spain,Anna,Anna Godoy Contreras,31827,Godoy Contreras,ESP,1992,01:03:14,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",8,2025-10-19,674812,Elite Women,14:00:00,1218542,00:33:52,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,14,00:19:32,1500,2,00:00:48,00:00:26,01:57:49,,,
,25,Germany,Tanja,Tanja Neubert,125627,Neubert,GER,2000,01:02:29,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",9,2025-10-19,674812,Elite Women,14:00:00,1218543,00:33:54,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,9,00:20:12,1500,2,00:00:53,00:00:26,01:57:51,,,
,32,Belgium,Jolien,Jolien Vermeylen,113106,Vermeylen,BEL,1994,01:03:02,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",10,2025-10-19,674812,Elite Women,14:00:00,1218544,00:34:00,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,7,00:19:42,1500,2,00:00:50,00:00:25,01:57:58,,,
,24,Great Britain,Tilly,Tilly Anema,162101,Anema,GBR,2001,01:03:36,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",11,2025-10-19,674812,Elite Women,14:00:00,1218545,00:34:35,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,33,00:19:07,1500,2,00:00:52,00:00:25,01:58:32,,,
,29,Great Britain,Sian,Sian Rainsley,71161,Rainsley,GBR,1997,01:03:07,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",12,2025-10-19,674812,Elite Women,14:00:00,1218546,00:34:42,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,18,00:19:35,1500,2,00:00:51,00:00:26,01:58:39,,,
,33,Spain,Miriam,Miriam Casillas García,30383,Casillas García,ESP,1992,01:02:59,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",13,2025-10-19,674812,Elite Women,14:00:00,1218547,00:34:49,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,31,00:19:44,1500,2,00:00:49,00:00:24,01:58:43,,,
,28,Colombia,Maria Carolina,Maria Carolina Velasquez Soto,83323,Velasquez Soto,COL,1997,01:02:56,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",14,2025-10-19,674812,Elite Women,14:00:00,1218548,00:34:51,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,30,00:19:44,1500,2,00:00:54,00:00:28,01:58:51,,,
,30,United States,Gina,Gina Sereno,132848,Sereno,USA,1995,01:03:04,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",15,2025-10-19,674812,Elite Women,14:00:00,1218549,00:34:53,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,23,00:19:39,1500,2,00:00:53,00:00:25,01:58:52,,,
,34,Great Britain,Beth,Beth Potter,117212,Potter,GBR,1991,01:02:29,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",16,2025-10-19,674812,Elite Women,14:00:00,1218550,00:36:10,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,1,00:19:14,1500,2,00:00:50,00:00:24,01:59:05,,,
,33,Brazil,Djenyfer,Djenyfer Arnold,125061,Arnold,BRA,1993,01:02:47,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",17,2025-10-19,674812,Elite Women,14:00:00,1218551,00:35:07,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,19,00:19:52,1500,2,00:00:55,00:00:29,01:59:09,,,
,31,Australia,Sophie,Sophie Linn,123455,Linn,AUS,1995,01:02:47,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,female,"World Triathlon Championship Finals, standard distance.",18,2025-10-19,674812,Elite Women,14:00:00,1218552,00:35:16,10000,4,https://events.triathlon.org/api/results/188992/674812,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674812,40,00:19:56,1500,2,00:00:50,00:00:24,01:59:10,,,
