air_temperature,athlete_age,athlete_country_name,athlete_first,athlete_full_name,athlete_id,athlete_last,athlete_noc,athlete_yob,bike,bike_distance_m,bike_laps,championship_year,dataset,distance_category,event_city,event_country,event_date,event_finish_date,event_id,event_slug,event_title,gender,note,position,program_date,program_id,program_name,program_time,result_id,run,run_distance_m,run_laps,source_api_url,source_url,start_num,swim,swim_distance_m,swim_laps,t1,t2,total_time,water_temperature,weather,wetsuit
,28,Australia,Matthew,Matthew Hauser,80795,Hauser,AUS,1998,00:54:31,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",1,2025-10-19,674811,Elite Men,17:00:00,1218574,00:29:16,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,1,00:17:49,1500,2,00:00:47,00:00:21,01:42:42,,,
,23,Spain,David,David Cantero Del Campo,132889,Cantero Del Campo,ESP,2003,00:54:52,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",2,2025-10-19,674811,Elite Men,17:00:00,1218575,00:28:54,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,8,00:18:22,1500,2,00:00:49,00:00:21,01:43:15,,,
,24,Italy,Alessio,Alessio Crociani,107730,Crociani,ITA,2001,00:54:25,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",3,2025-10-19,674811,Elite Men,17:00:00,1218576,00:29:58,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,16,00:17:50,1500,2,00:00:51,00:00:20,01:43:22,,,
,25,Brazil,Miguel,Miguel Hidalgo,105480,Hidalgo,BRA,2000,00:54:52,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",4,2025-10-19,674811,Elite Men,17:00:00,1218577,00:29:14,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,2,00:18:21,1500,2,00:00:50,00:00:26,01:43:41,,,
,26,Portugal,Vasco,Vasco Vilaca,86042,Vilaca,POR,1999,00:54:56,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",5,2025-10-19,674811,Elite Men,17:00:00,1218578,00:29:22,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,3,00:18:20,1500,2,00:00:45,00:00:23,01:43:44,,,
,30,Switzerland,Max,Max Studer,70032,Studer,SUI,1996,00:54:54,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",6,2025-10-19,674811,Elite Men,17:00:00,1218579,00:29:25,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,11,00:18:22,1500,2,00:00:45,00:00:23,01:43:47,,,
,27,Portugal,Miguel Tiago,Miguel Tiago Silva,98130,Silva,POR,1998,00:54:31,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",7,2025-10-19,674811,Elite Men,17:00:00,1218580,00:30:25,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,31,00:17:53,1500,2,00:00:43,00:00:23,01:43:54,,,
,24,Germany,Henry,Henry Graf,125064,Graf,GER,2002,00:54:30,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",8,2025-10-19,674811,Elite Men,17:00:00,1218581,00:30:27,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,4,00:17:52,1500,2,00:00:45,00:00:23,01:43:55,,,
,31,Canada,Tyler,Tyler Mislawchuk,49411,Mislawchuk,CAN,1994,00:55:07,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",9,2025-10-19,674811,Elite Men,17:00:00,1218582,00:29:36,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,20,00:18:09,1500,2,00:00:49,00:00:22,01:44:00,,,
,27,Hungary,Csongor,Csongor Lehmann,94446,Lehmann,HUN,1999,00:54:23,40000,7,2025,wtcs_final,standard,Wollongong,Australia,2025-10-15,2025-10-19,188992,2025-world-triathlon-championships-finals-wollongong,2025 World Triathlon Championship Finals Wollongong,male,"World Triathlon Championship Finals, standard distance.",10,2025-10-19,674811,Elite Men,17:00:00,1218583,00:30:46,10000,4,https://events.triathlon.org/api/results/188992/674811,https://events.triathlon.org/2025-world-triathlon-championships-finals-wollongong/results?program=674811,5,00:17:57,1500,2,00:00:47,00:00:22,01:44:13,,,
